bhk,type,locality,area,price,price_unit,region,status,age,price _INR,Rent_price
3,Apartment,Priyanka Unite,1655,1.55,Cr,Ulwe,Ready to move,New,15500000,12916.66667
3,Apartment, Kartik Regency,1100,1.25,Cr,Belapur,Ready to move,Resale,12500000,10416.66667
2,Apartment,Runwal Bliss Wing B,631,1.5,Cr,Kanjurmarg,Under Construction,Unknown,15000000,12500
1,Apartment,Raj Akshay,675,61.5,L,Mira Road East,Under Construction,New,6150000,5125
1,Studio Apartment,Ganraj Eknath Residency,345,21,L,Dombivali,Under Construction,New,2100000,1750
2,Apartment,Godrej Riviera Phase 1,800,52.49,L,Kalyan West,Under Construction,New,5249000,4374.166667
2,Apartment,Arkade Earth Fern,681,1.89,Cr,Kanjurmarg,Under Construction,New,18900000,15750
2,Apartment,Arihant Amisha Phase II,824,39,L,Taloja,Under Construction,Unknown,3900000,3250
2,Apartment,RNA NG Ocean Pearl,1040,82.25,L,Mira Road East,Ready to move,New,8225000,6854.166667
3,Apartment,Unique Borivali Yash Prabha CHS Ltd,1166,3,Cr,Borivali West,Ready to move,Unknown,30000000,25000
3,Apartment,Paradise Sai World Empire,2215,2.53,Cr,Kharghar,Under Construction,Unknown,25300000,21083.33333
2,Apartment,Radheya Sai Enclave,1000,49.92,L,Naigaon East,Ready to move,Resale,4992000,4160
4,Apartment,Raheja Solaris,2157,4.6,Cr,Sanpada,Under Construction,New,46000000,38333.33333
2,Apartment,Shapoorji Pallonji Joyville Virar,644,64.6,L,Virar,Under Construction,New,6460000,5383.333333
2,Apartment,Lodha Aurum Grande,1197,2.01,Cr,Kanjurmarg,Ready to move,Resale,20100000,16750
2,Apartment, Radhe Krishna Heights,700,29.6,L,Karjat,Ready to move,New,2960000,2466.666667
3,Apartment,Star Siddhi Gloria,1266,1.45,Cr,Kharghar,Under Construction,Unknown,14500000,12083.33333
2,Apartment,Gurukrupa Marina Enclave,1000,1.55,Cr,Malad West,Ready to move,Resale,15500000,12916.66667
1,Apartment,Dosti Nest Phase 1,550,61.45,L,Thane West,Under Construction,New,6145000,5120.833333
2,Apartment,Avant Hillway,960,1.16,Cr,Goregaon East,Under Construction,New,11600000,9666.666667
2,Apartment,Dosti West County,744,1.01,Cr,Thane West,Under Construction,New,10100000,8416.666667
4,Apartment,Hiranandani One Hiranandani Park,2200,4.95,Cr,Thane West,Ready to move,New,49500000,41250
2,Apartment,Balaji Balaji Vijay Sapphire,1000,1.1,Cr,Panvel,Ready to move,Resale,11000000,9166.666667
3,Apartment,Tycoons Epicenter,1521,1.2,Cr,Kalyan West,Under Construction,New,12000000,10000
1,Apartment,A Plus Golden Veda,500,17,L,Badlapur West,Under Construction,New,1700000,1416.666667
2,Apartment,DLH Ashoka,1020,1.42,Cr,Thane West,Ready to move,New,14200000,11833.33333
2,Apartment,Shapoorji Pallonji BKC 28,890,2.49,Cr,Bandra East,Ready to move,New,24900000,20750
2,Apartment,Dosti West County,895,1.11,Cr,Thane West,Ready to move,New,11100000,9250
